"","name","budget","company","country","director","genre","gross","rating","released","runtime","score","star","votes","writer","year","number of reviews"
"1078","Hope Springs",3e+07,"Columbia Pictures","USA","David Frankel","Comedy","63536011.0","PG-13","2012-08-08",100,"6.3","Meryl Streep","36501","Vanessa Taylor",2012,178
"1079","Horrible Bosses",3.5e+07,"New Line Cinema","USA","Seth Gordon","Comedy","117538559.0","R","2011-07-08",106,"6.9","Jason Bateman","375032","Michael Markowitz",2011,387
"1080","Horrible Bosses 2",4.2e+07,"BenderSpink","USA","Sean Anders","Comedy","54445357.0","R","2014-11-26",108,"6.3","Jason Bateman","129349","Sean Anders",2014,187
"1081","Hostage",5.2e+07,"Miramax","USA","Florent-Emilio Siri","Action","34639939.0","R","2005-03-11",113,"6.6","Bruce Willis","97552","Robert Crais",2005,288
"1082","Hostel",4800000,"Hostel LLC","USA","Eli Roth","Horror","47326473.0","R","2006-01-06",94,"5.9","Jay Hernandez","147832","Eli Roth",2005,1516
"1083","Hostel: Part II",1e+07,"Lionsgate","USA","Eli Roth","Horror","17609452.0","R","2007-06-08",94,"5.5","Lauren German","74531","Eli Roth",2007,384
"1084","Hot Pursuit",3.5e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Anne Fletcher","Action","34507079.0","PG-13","2015-05-08",87,"5.1","Reese Witherspoon","40431","David Feeney",2015,118
"1085","Hot Tub Time Machine",3.6e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Steve Pink","Comedy","50287556.0","R","2010-03-26",101,"6.4","John Cusack","145648","Josh Heald",2010,243
"1086","Hot Tub Time Machine 2",1.4e+07,"Paramount Pictures","USA","Steve Pink","Comedy","12282677.0","R","2015-02-20",93,"5.1","Rob Corddry","31612","Josh Heald",2015,96
"1087","Hotel Rwanda",17500000,"United Artists","UK","Terry George","Biography","23472900.0","PG-13","2005-02-04",121,"8.1","Don Cheadle","286561","Keir Pearson",2004,609
"1088","Hotel Transylvania",8.5e+07,"Columbia Pictures","USA","Genndy Tartakovsky","Animation","148313048.0","PG","2012-09-28",91,"7.1","Adam Sandler","180944","Peter Baynham",2012,168
"1089","Hotel Transylvania 2",8e+07,"Columbia Pictures","USA","Genndy Tartakovsky","Animation","169700110.0","PG","2015-09-25",89,"6.7","Adam Sandler","73328","Robert Smigel",2015,97
"1090","House at the End of the Street",6900000,"Relativity Media","Canada","Mark Tonderai","Drama","31611916.0","PG-13","2012-09-21",101,"5.6","Jennifer Lawrence","62147","David Loucka",2012,160
"1091","House of 1000 Corpses",7e+06,"Spectacle Entertainment Group","USA","Rob Zombie","Horror","12634962.0","R","2003-04-11",89,"6.0","Sid Haig","64612","Rob Zombie",2003,922
"1092","House of D",6e+06,"Bob Yari Productions","USA","David Duchovny","Comedy","371081.0","PG-13","2005-04-29",96,"7.0","David Duchovny","7919","David Duchovny",2004,86
"1093","House of Sand and Fog",1.5e+07,"DreamWorks","USA","Vadim Perelman","Drama","13005485.0","R","2004-01-09",126,"7.6","Jennifer Connelly","58778","Andre Dubus III",2003,469
"1094","House on Haunted Hill",3.7e+07,"Dark Castle Entertainment","USA","William Malone","Horror","40846082.0","R","1999-10-29",93,"5.6","Geoffrey Rush","47381","Robb White",1999,536
"1095","House Party 2",5e+06,"Hudlin Brothers, The","USA","George Jackson","Comedy","19281235.0","R","1991-10-23",100,"5.1","Christopher Reid","3925","Reginald Hudlin",1991,11
"1096","How Do You Know",1.2e+08,"Columbia Pictures","USA","James L. Brooks","Comedy","30212620.0","PG-13","2010-12-17",100,"5.4","Reese Witherspoon","37605","James L. Brooks",2010,196
"1097","How High",2e+07,"Jersey Films","USA","Jesse Dylan","Comedy","31155435.0","R","2001-12-21",93,"6.3","Method Man","45777","Dustin Lee Abraham",2001,102
"1098","How Stella Got Her Groove Back",2e+07,"Twentieth Century Fox Film Corporation","USA","Kevin Rodney Sullivan","Comedy","37672350.0","R","1998-08-14",124,"5.6","Angela Bassett","5794","Terry McMillan",1998,51
"1099","How the Grinch Stole Christmas",1.23e+08,"Universal Pictures","USA","Ron Howard","Comedy","260044825.0","PG","2000-11-17",104,"6.0","Jim Carrey","155553","Dr. Seuss",2000,482
"1100","How to Be Single",3.8e+07,"New Line Cinema","USA","Christian Ditter","Comedy","46813366.0","R","2016-02-12",110,"6.1","Dakota Johnson","63520","Abby Kohn",2016,83
